game,algo_L,stepsize_mode,init_mode,seed,iters,final_duality_gap,gap_log_linear_rate,final_w2_sum,w2_log_linear_rate,final_entropy_a,final_entropy_b,final_barycenter_x,final_barycenter_y,csv_path
chizat_example_4_1,2,slingshot,uniform,2,6000,0.9546858175306727,-4.591641906841113e-05,0.11941913385539021,-3.755187523747687e-05,3.3780168196413976,3.2160145605812533,0.5714378901606539,0.30922638264801194,chizat_example_4_1\global\L2_slingshot_init-uniform_seed2.csv
chizat_example_4_1,2,slingshot,uniform,3,6000,0.7554743844212926,-4.332926144714619e-05,0.0947956208325801,-3.8298481719595926e-05,3.380561739012263,3.300771947267187,0.5744312231335987,0.3311344788137398,chizat_example_4_1\global\L2_slingshot_init-uniform_seed3.csv
chizat_example_4_1,2,slingshot,uniform,4,6000,0.22341507573581648,-7.887613685023093e-05,0.02826989339194967,-7.699164561101884e-05,3.3897862252817723,3.4003044001358553,0.6460046473817534,0.36807776291477645,chizat_example_4_1\global\L2_slingshot_init-uniform_seed4.csv
chizat_example_4_1,1,vanilla,near_mne,0,5000,2.4729199248077482e-05,-0.00030956099198270297,0.00041974908094860597,-0.0001730365456201123,3.401197381181874,3.401197381038655,0.6249976303366935,0.3749992785134007,chizat_example_4_1\local\L1_vanilla_init-near_mne_seed0.csv
chizat_example_4_1,1,vanilla,near_mne,1,5000,2.5545762501882896e-05,-0.00028607594946782506,0.0004365263927597654,-0.0001621238553107713,3.401197380901435,3.401197381436395,0.6250006211275229,0.37500257209279,chizat_example_4_1\local\L1_vanilla_init-near_mne_seed1.csv
chizat_example_4_1,1,vanilla,near_mne,2,5000,2.2398486374045068e-05,-0.0003206235648564693,0.0005861301781184202,-0.00015911074137340875,3.4011973808466642,3.4011973807741165,0.6249985114191977,0.3750013112299943,chizat_example_4_1\local\L1_vanilla_init-near_mne_seed2.csv
chizat_example_4_1,1,vanilla,near_mne,3,5000,5.9238583518417265e-05,-0.0002831823736282339,0.00030738338944306476,-0.00019548590459772012,3.4011973795103576,3.4011973805914035,0.6249974961721018,0.37499509900495853,chizat_example_4_1\local\L1_vanilla_init-near_mne_seed3.csv
chizat_example_4_1,1,vanilla,near_mne,4,5000,2.6036308294813404e-05,-0.00032041966453152503,0.000486580431191292,-0.00017109660596702295,3.401197380839511,3.4011973810739673,0.6249994774478485,0.37500273198638545,chizat_example_4_1\local\L1_vanilla_init-near_mne_seed4.csv
chizat_example_4_1,1,slingshot,near_mne,0,5000,2.3492182223860958e-05,-0.00032567252421978894,0.00020293542824590232,-0.0002248233024847665,3.401197381149675,3.4011973808447316,0.6249995223581899,0.374997541119032,chizat_example_4_1\local\L1_slingshot_init-near_mne_seed0.csv
chizat_example_4_1,1,slingshot,near_mne,1,5000,2.6766819989670898e-05,-0.00032443557950430384,0.00025334526315371787,-0.0002345334890535224,3.4011973805389593,3.4011973814148186,0.6249994106549639,0.37500275650746256,chizat_example_4_1\local\L1_slingshot_init-near_mne_seed1.csv
chizat_example_4_1,1,slingshot,near_mne,2,5000,2.4804543024073422e-05,-0.00034120287130062267,0.0003030991616048038,-0.00020623095164852288,3.4011973807509026,3.4011973803125746,0.6249969080938429,0.3750000086617208,chizat_example_4_1\local\L1_slingshot_init-near_mne_seed2.csv
chizat_example_4_1,1,slingshot,near_mne,3,5000,4.8284821969418745e-05,-0.00032880386772811144,0.0004393674499048464,-0.00021168697122748935,3.401197379396136,3.401197380218388,0.6250022980204664,0.3749962624177199,chizat_example_4_1\local\L1_slingshot_init-near_mne_seed3.csv
